,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
5,Kandrian,36,PG,1514296982,100,-6.21,149.55,74.97,2.93
7,Rawlins,90,US,1514294100,79,41.79,-107.24,24.8,14.99
13,Kuyanovo,88,RU,1514296986,88,56.95,86.47,20.65,18.59
14,Beringovskiy,24,RU,1514296987,100,63.05,179.32,-3.2,8.41
15,Oleksandrivka,20,UA,1514296988,95,48.74,37.49,39.19,9.86
16,Bellefontaine Neighbors,90,US,1514296260,66,38.74,-90.23,15.8,12.75
19,Hasaki,20,JP,1514295000,48,35.73,140.83,41.0,4.7
21,Mount Pleasant,75,US,1514294100,64,33.16,-94.97,37.4,8.05
24,Lamin,0,GM,1514293200,25,13.35,-16.43,86.0,13.87
25,Bermejo,0,AR,1514296995,54,-22.73,-64.34,87.43,2.93
26,Nizhniy Kuranakh,0,RU,1514296996,0,58.84,125.49,-31.6,2.59
33,Antofagasta,75,CL,1514293200,60,-23.65,-70.4,69.8,4.7
34,Tooele,90,US,1514294880,85,40.53,-112.3,24.8,3.36
35,Snyder,1,US,1514294100,86,32.72,-100.92,32.0,10.29
41,Benguela,0,AO,1514297004,89,-12.58,13.4,77.8,9.75
42,Muravlenko,48,RU,1514297004,73,63.79,74.5,-3.11,9.42
43,Yenagoa,8,NG,1514297005,46,4.92,6.26,92.07,3.6
44,Rusape,92,ZW,1514297005,100,-18.53,32.12,62.86,4.94
52,Jinsha,0,CN,1514293200,67,24.49,118.41,59.0,13.42
53,Varnavino,64,RU,1514297011,84,61.19,46.56,14.08,7.63
59,Abu Dhabi,0,AE,1514293200,27,24.47,54.37,78.8,10.29
63,Chara,0,GR,1514294400,66,39.42,22.43,55.4,4.7
67,Great Yarmouth,20,GB,1514296200,75,52.61,1.73,42.8,13.87
70,Fremont,20,US,1514295300,87,37.55,-121.99,44.6,0.69
72,Fortuna,40,ES,1514293200,48,38.18,-1.13,66.2,3.36
84,Pochinok,88,RU,1514297026,95,54.4,32.44,36.76,13.22
87,Penhold,5,CA,1514293200,74,52.13,-113.87,-22.01,3.36
95,Kongoussi,0,BF,1514297031,26,13.32,-1.53,88.47,11.77
97,Nyaunglebin,0,MM,1514297033,86,17.95,96.73,68.76,1.7
106,Morondava,8,MG,1514297039,79,-20.3,44.28,86.44,8.97
107,Mehamn,80,NO,1514297039,78,71.03,27.85,23.22,11.99
110,Garachine,56,PA,1514297041,98,8.06,-78.36,80.86,4.72
113,San Quintin,100,PH,1514297042,83,17.54,120.52,73.89,3.94
118,Abonnema,12,NG,1514293200,37,4.71,6.79,86.0,5.82
124,Wamba,0,CD,1514297047,35,2.14,27.99,87.12,4.83
135,Sabha,0,LY,1514297052,41,27.03,14.43,61.51,5.95
139,Haizhou,0,CN,1514297055,100,34.58,119.13,39.06,9.64
140,Hobyo,0,SO,1514297055,74,5.35,48.53,77.98,17.81
141,Nemuro,0,JP,1514297056,100,43.32,145.57,27.72,34.47
145,Riohacha,20,CO,1514293200,94,11.54,-72.91,78.8,8.05
147,Tabas,80,IR,1514297058,51,33.6,56.92,53.32,13.67
153,Inirida,48,CO,1514297061,78,3.87,-67.92,81.94,2.93
155,Tokur,56,RU,1514297062,65,53.13,132.9,-16.16,5.17
157,Suntar,44,RU,1514297063,37,62.16,117.65,-24.62,5.73
161,Ejido Hermosillo,1,MX,1514293020,24,32.51,-114.92,46.4,10.29
171,Raton,1,US,1514296380,67,36.9,-104.44,17.6,5.82
174,Revelstoke,90,CA,1514293200,65,50.99,-118.19,8.6,3.36
185,Edson,40,CA,1514293200,67,53.59,-116.44,-27.41,3.36
186,Roald,90,NO,1514296200,100,62.58,6.12,33.8,27.51
190,Lahad Datu,8,MY,1514297077,100,5.02,118.33,74.97,3.83
191,Shache,88,CN,1514297077,95,38.42,77.24,25.33,4.94
194,Anahuac,90,US,1514296500,65,29.77,-94.68,59.0,9.17
196,Portland,20,US,1514296380,92,45.52,-122.67,32.0,3.36
197,Gold Coast,40,AU,1514293200,88,-28.0,153.41,69.8,3.36
199,Victoria Point,75,AU,1514293200,88,-27.58,153.3,71.6,9.17
201,Ouidah,20,BJ,1514293200,46,6.37,2.09,89.6,4.7
202,Miyoshi,40,JP,1514293200,80,34.81,132.85,33.8,8.05
203,Norman Wells,75,CA,1514293200,74,65.28,-126.83,-22.01,3.36
205,Pucara,75,BO,1514293200,71,-16.6,-68.57,50.0,5.82
208,Elektrenai,0,LT,1514296200,80,54.77,24.63,39.2,8.05
210,Gabriel Leyva Solano,32,MX,1514297087,83,25.66,-108.64,59.62,2.48
215,Berettyoujfalu,0,HU,1514295000,65,47.22,21.55,48.2,10.29
218,Bestobe,0,KZ,1514297090,81,52.5,73.1,22.81,17.02
221,Trairi,80,BR,1514296905,100,-3.28,-39.27,80.19,15.12
224,Bria,12,CF,1514297093,43,6.54,21.99,87.07,6.73
225,Klaksvik,75,FO,1514296260,100,62.23,-6.59,32.0,25.28
226,Robertsport,0,LR,1514297094,100,6.75,-11.37,82.89,6.17
227,Puro,56,PH,1514297094,98,13.13,123.76,75.51,3.27
229,Bubaque,0,GW,1514293200,30,11.28,-15.83,84.2,9.17
232,Berlevag,88,NO,1514297097,100,70.86,29.09,30.42,20.83
233,Laguna,40,MX,1514293200,71,27.52,-110.01,51.8,4.7
235,Waipawa,92,NZ,1514297098,93,-39.94,176.59,52.33,15.46
238,Padang,36,ID,1514296980,100,-0.92,100.36,78.57,4.72
240,Caruaru,68,BR,1514297100,71,-8.28,-35.97,79.47,7.74
247,Cuamba,88,MZ,1514297103,71,-14.8,36.54,79.56,3.15
250,Wilmington,75,US,1514296500,30,39.75,-75.55,30.2,14.99
263,San Jose,92,PH,1514296821,92,15.79,120.99,73.71,5.06
266,Sola,90,FI,1514296200,92,62.78,29.36,23.0,3.36
269,Quatre Cocos,40,MU,1514293200,66,-20.21,57.76,84.2,12.75
271,Azul,92,AR,1514296936,61,-36.78,-59.86,77.17,8.08
272,Abha,0,SA,1514293200,15,18.22,42.5,73.4,6.93
274,Oriximina,64,BR,1514297114,81,-1.77,-55.87,82.12,2.93
277,Nizhniy Tsasuchey,24,RU,1514297115,39,50.52,115.13,-26.78,3.15
279,Puerto Escondido,5,MX,1514292060,69,15.86,-97.07,77.0,5.28
281,Elizabeth City,1,US,1514296800,63,36.3,-76.22,37.4,3.36
285,Sapa,75,PH,1514296800,94,14.32,120.76,80.6,4.7
289,Port-Cartier,90,CA,1514293200,71,50.03,-66.88,3.2,8.05
291,Kasempa,48,ZM,1514297122,100,-13.46,25.83,68.26,5.06
294,Delta del Tigre,0,UY,1514293200,54,-34.76,-56.41,82.4,12.75
296,Sorland,0,NO,1514296200,85,67.67,12.69,19.4,4.7
301,Iwai,1,JP,1514296560,59,36.05,139.9,42.8,5.82
304,Kautokeino,88,NO,1514297129,78,69.01,23.04,3.24,3.94
305,Martaban,92,MM,1514297130,60,16.53,97.61,76.41,9.31
306,Lakes Entrance,0,AU,1514297130,81,-37.88,147.99,66.24,8.97
308,Sanghar,8,PK,1514297131,79,28.18,68.31,59.94,2.37
310,Maracacume,36,BR,1514297132,86,-2.04,-45.96,85.9,4.94
311,Mayumba,20,GA,1514297133,91,-3.44,10.65,80.68,11.1
314,Santa Rita,0,VE,1514293200,69,10.21,-67.56,78.8,3.49
318,Kutum,0,SD,1514297081,19,14.2,24.66,76.77,5.95
319,Malaya Vishera,92,RU,1514297140,98,58.85,32.22,38.79,5.95
320,Grand Gaube,40,MU,1514293200,66,-20.01,57.66,84.2,12.75
321,San Patricio,0,PY,1514297087,71,-26.98,-56.83,86.98,3.27
324,Zhongxing,0,CN,1514297141,89,32.02,116.14,32.98,4.94
328,Inuvik,5,CA,1514293200,63,68.36,-133.71,3.2,13.87
330,Rocha,0,UY,1514297144,35,-34.48,-54.34,89.86,9.64
332,Cockburn Town,92,TC,1514297145,98,21.46,-71.14,79.56,15.9
333,Adzope,36,CI,1514297145,35,6.11,-3.86,95.89,10.54
345,Petropavlovsk-Kamchatskiy,90,RU,1514293200,80,53.05,158.65,35.6,8.95
346,Vallenar,12,CL,1514297150,75,-28.58,-70.76,69.43,3.04
348,Purpe,48,RU,1514297151,69,64.48,76.69,1.48,10.76
349,Buluang,75,PH,1514296800,83,10.47,123.98,82.4,6.93
352,Linxia,0,CN,1514297154,52,35.6,103.21,9.49,2.26
357,Axim,0,GH,1514297156,90,4.87,-2.24,83.92,11.21
359,Awbari,0,LY,1514297156,40,26.59,12.77,59.53,5.84
362,Port Macquarie,90,AU,1514293200,88,-31.43,152.91,69.8,8.05
366,Ahuimanu,90,US,1514295000,78,21.44,-157.84,71.6,5.82
372,Mehran,0,IR,1514295000,62,33.12,46.17,51.8,6.93
374,San Policarpo,68,PH,1514297162,99,12.18,125.51,79.29,10.98
380,Kelcyre,0,AL,1514297164,87,40.31,20.19,41.76,1.81
387,Jimma,44,ET,1514297167,31,7.67,36.84,74.29,2.37
389,Nelson Bay,90,AU,1514293200,88,-32.72,152.14,69.8,6.93
390,Say,0,NE,1514293200,30,13.1,2.36,86.0,9.17
391,Locri,20,IT,1514292900,63,38.24,16.26,60.8,10.29
392,Oranjemund,0,ZA,1514297003,85,-28.55,16.43,63.36,25.3
393,Bucerias,20,MX,1514297166,100,20.76,-105.33,76.45,2.04
395,Ambon,92,FR,1514296800,87,47.55,-2.56,50.0,19.46
396,Koumac,44,NC,1514297171,100,-20.56,164.28,72.99,4.94
401,Springfield,90,US,1514296320,68,37.22,-93.29,26.6,4.7
403,Comodoro Rivadavia,40,AR,1514293200,71,-45.87,-67.48,53.6,3.36
409,Malinovskiy,88,RU,1514297177,92,54.15,34.53,37.89,14.79
411,Severobaykalsk,0,RU,1514297178,0,55.65,109.32,-31.42,2.93
413,Ketchikan,90,US,1514293680,100,55.34,-131.65,33.8,4.7
423,Shimoda,12,JP,1514297184,100,34.7,138.93,49.54,31.9
425,Marzuq,0,YE,1514297185,20,14.4,46.47,60.12,2.93
431,Garissa,0,KE,1514297188,24,-0.46,39.64,93.96,9.42
436,Sturgeon Falls,20,CA,1514293200,83,46.36,-79.93,-14.81,3.36
439,Konce,24,MK,1514297191,91,41.5,22.39,41.8,2.15
443,Dembi Dolo,0,ET,1514297193,30,8.53,34.8,81.31,2.82
445,Alice Springs,56,AU,1514293200,35,-23.7,133.88,86.0,1.12
450,Mount Darwin,80,ZW,1514297195,94,-16.77,31.58,71.64,5.95
453,Posse,64,BR,1514297196,73,-14.08,-46.36,83.74,3.94
454,Hoquiam,90,US,1514296380,100,46.98,-123.89,33.8,9.17
456,Kamenka,92,RU,1514297146,88,53.19,44.05,26.5,14.45
459,Te Anau,64,NZ,1514297199,84,-45.41,167.72,38.92,1.59
460,Bongandanga,48,CD,1514297199,71,1.51,21.07,83.61,2.48
462,Zavoaia,0,RO,1514297200,93,44.95,27.48,40.32,5.95
464,Dzhebariki-Khaya,8,RU,1514297201,0,62.22,135.8,-56.39,2.15
465,Frankfort,90,US,1514295300,79,38.2,-84.87,26.6,3.71
469,North Platte,90,US,1514296380,83,41.12,-100.77,-5.81,4.5
470,Saint-Pierre,75,FR,1514296800,81,48.95,4.24,44.6,20.8
472,Bonthe,0,SL,1514297205,47,7.53,-12.5,92.16,2.15
473,Omboue,20,GA,1514297205,100,-1.57,9.26,80.77,9.31
474,Vestmannaeyjar,0,IS,1514294340,68,63.44,-20.27,30.2,9.17
480,Isangel,92,VU,1514297027,100,-19.55,169.27,76.99,9.53
486,Cabo San Lucas,5,MX,1514293200,56,22.89,-109.91,68.0,3.36
490,Belyy Yar,40,RU,1514295000,92,53.6,91.39,12.2,4.47
494,Mattawa,20,CA,1514293200,83,46.32,-78.7,-14.81,3.36
499,Kailua,90,US,1514295000,78,21.39,-157.74,71.6,5.82
500,Santona,20,ES,1514295000,58,43.44,-3.46,53.6,16.11
506,Gimli,44,CA,1514297219,60,50.63,-96.99,-12.74,10.42
507,Glazunovka,88,RU,1514297220,93,52.5,36.32,37.71,14.67
509,Ngunguru,24,NZ,1514297221,100,-35.62,174.5,64.12,19.71
510,Biryusinsk,88,RU,1514297221,84,55.96,97.82,13.45,2.48
516,Pangnirtung,75,CA,1514293200,50,66.15,-65.72,5.0,4.7
518,Gushikawa,75,JP,1514296560,59,26.35,127.87,64.4,12.75
522,Scarborough,56,GB,1514296200,80,54.28,-0.41,42.8,16.11
529,Vardo,5,US,1514296500,35,39.62,-77.74,28.4,4.7
530,Darhan,0,MN,1514297229,53,49.49,105.92,-12.38,2.93
531,Nikolsk,88,RU,1514297229,80,59.53,45.45,14.76,8.19
533,San Cristobal,40,EC,1514293200,87,-0.39,-78.55,50.0,1.12
537,Visby,75,SE,1514296200,86,57.64,18.3,41.0,16.11
539,Walvis Bay,0,NA,1514293200,56,-22.95,14.51,69.8,8.05
541,Raymondville,90,US,1514292960,73,37.34,-91.83,24.8,6.93
542,Srednekolymsk,0,RU,1514297235,0,67.46,153.71,-36.5,2.37
548,Manbij,0,SY,1514294400,44,36.53,37.96,59.0,5.82
553,Hervey Bay,24,AU,1514297191,99,-25.3,152.85,77.67,7.63
554,Santiago del Estero,0,AR,1514297239,33,-27.8,-64.26,95.8,14.34
558,Riviere-au-Renard,40,CA,1514293200,66,49.0,-64.4,10.4,23.04
559,Roebourne,36,AU,1514297241,46,-20.77,117.15,88.87,7.74
561,Ayr,40,GB,1514296200,86,55.46,-4.63,39.2,6.06
564,Moose Jaw,5,CA,1514293200,74,50.4,-105.54,-23.81,9.17
567,Ritchie,0,ZA,1514293200,10,-29.03,24.6,87.8,4.7
575,Marsh Harbour,44,BS,1514297113,100,26.54,-77.06,75.1,7.74
576,Labuhan,24,ID,1514297250,90,-2.54,115.51,75.42,1.92
578,Jacareacanga,20,BR,1514293200,88,-6.22,-57.76,80.6,1.12
580,Maragogi,32,BR,1514297209,73,-9.01,-35.22,85.0,11.1
581,Tiksi,68,RU,1514297252,75,71.64,128.87,-17.2,25.19
583,Xuddur,0,SO,1514297253,30,4.12,43.89,84.28,9.86
587,Turukhansk,80,RU,1514297028,78,65.8,87.96,19.66,12.66
596,Tura,0,IN,1514297258,85,25.52,90.21,58.63,2.15
598,Codrington,100,AU,1514297059,100,-28.95,153.24,66.19,3.15
599,Sao Joao da Barra,20,BR,1514293200,58,-21.64,-41.05,86.0,8.86
605,Meulaboh,100,ID,1514297261,100,4.14,96.13,75.51,3.94
606,Alto Araguaia,68,BR,1514297262,69,-17.32,-53.22,82.44,7.96
607,Gunjur,0,GM,1514293200,25,13.18,-16.76,86.0,13.87
612,Mount Isa,40,AU,1514293200,38,-20.73,139.49,91.4,13.87
615,Saint-Georges,24,CA,1514297266,41,46.12,-70.67,12.73,11.43
617,Tautira,92,PF,1514295000,88,-17.73,-149.15,77.0,4.7
618,Quartucciu,20,IT,1514296200,82,39.25,9.18,60.8,4.7
622,Armizonskoye,80,RU,1514297269,81,55.95,67.67,7.78,4.27
623,Kieta,56,PG,1514297270,100,-6.22,155.63,76.81,1.14
628,Bethel,90,US,1514295000,85,60.79,-161.76,24.8,4.7
631,Pizarro,92,CO,1514297273,100,4.95,-77.37,74.38,6.62
634,Ternate,75,PH,1514296800,94,14.29,120.72,80.6,4.7
635,Puerto Santander,75,VE,1514293200,94,8.35,-72.41,73.4,2.24
638,Ntungamo,32,UG,1514297276,85,-0.87,30.27,72.76,3.71
639,Goure,0,NE,1514297276,33,13.98,10.27,80.37,9.42
640,Suzhou,8,CN,1514297277,78,33.65,116.96,26.59,3.38
642,Kuntaur,0,GM,1514297278,28,13.67,-14.89,93.1,12.21
644,College,90,US,1514293080,84,64.86,-147.8,3.2,2.93
645,Ugoofaaru,0,MV,1514297279,100,5.67,73.0,82.26,8.63
654,Myrtle Beach,1,US,1514296560,44,33.7,-78.89,37.4,12.75
655,Port Lincoln,0,AU,1514297017,68,-34.72,135.86,72.36,14.79
657,Ewa Beach,90,US,1514295000,78,21.32,-158.01,71.6,5.82
658,Ola,75,RU,1514293200,92,59.58,151.3,8.6,4.47
659,Cloquet,1,US,1514296500,75,46.72,-92.46,-16.61,6.93
661,Saint George,0,GR,1514294400,66,39.45,22.34,55.4,4.7
664,Sereflikochisar,0,TR,1514297286,100,38.94,33.54,36.04,2.93
670,Punta Cardon,12,VE,1514297289,65,11.61,-70.22,83.52,15.57
673,Broome,20,GB,1514296560,75,52.47,1.45,44.6,13.87
675,Miri,0,NG,1514297291,39,10.31,9.75,80.59,8.63
677,Santa Cruz,1,US,1514295300,70,36.97,-122.03,51.8,2.26
679,Guaruja,75,BR,1514296800,65,-23.99,-46.26,78.8,3.36
681,Bereznik,88,RU,1514297293,81,62.86,42.71,16.29,6.51
689,Agropoli,75,IT,1514292600,67,40.35,15.0,57.2,5.39
690,Rumoi,76,JP,1514297297,94,43.93,141.67,20.92,19.6
692,Seydi,0,NE,1514297298,34,13.34,7.75,82.39,10.31
696,San Pedro Buenavista,75,MX,1514292540,100,20.01,-97.11,62.6,5.82
699,Provideniya,80,RU,1514297220,100,64.42,-173.23,29.97,7.96
700,Vila Velha,75,BR,1514296800,66,-3.71,-38.6,86.0,18.34
702,Aitape,68,PG,1514297302,100,-3.15,142.36,79.15,3.15
703,Massakory,0,TD,1514297302,20,13.0,15.73,87.34,10.65
705,Wahiawa,90,US,1514295000,78,21.5,-158.02,71.6,5.82
709,Komsomolskiy,56,RU,1514297306,66,67.55,63.78,-9.5,3.27
711,Banjar,76,ID,1514297307,84,-7.37,108.54,75.24,1.92
712,Eureka,90,US,1514295360,93,40.8,-124.16,48.2,3.36
716,Anadyr,90,RU,1514293200,76,64.73,177.51,-9.41,11.18
717,Namatanai,24,PG,1514297309,100,-3.66,152.44,81.54,4.61
720,Ormara,0,PK,1514297164,90,25.21,64.64,70.56,1.7
724,Harper,90,US,1514296500,93,30.3,-99.24,55.4,4.7
726,Half Moon Bay,20,US,1514295300,87,37.46,-122.43,44.6,5.84
728,Lagoa,40,PT,1514295000,77,37.14,-8.45,59.0,9.17
730,Ocos,0,GT,1514293200,83,14.51,-92.19,69.8,5.39
735,Qianan,0,CN,1514297317,64,44.99,124.06,-8.2,9.31
736,Bowen,32,AU,1514293200,88,-20.01,148.25,71.6,1.12
738,Arkadelphia,1,US,1514295300,86,34.12,-93.05,28.4,5.06
747,Margate,20,AU,1514293200,87,-43.03,147.26,59.0,5.82
749,Mokokchung,20,IN,1514297315,89,26.32,94.52,53.23,2.37
751,Rincon,40,US,1514296500,52,32.3,-81.24,42.8,18.34
755,Male,0,UA,1514297324,90,50.74,33.7,35.37,9.98
757,Naze,0,NG,1514293200,37,5.43,7.07,86.0,5.82
758,Ancud,64,CL,1514297325,81,-41.87,-73.83,58.72,4.05
761,Ciudad Bolivar,92,VE,1514297326,82,8.12,-63.55,77.67,11.77
765,Igarka,88,RU,1514297328,77,67.47,86.57,10.89,13.89
766,Guiong,12,PH,1514297328,100,6.42,122.03,80.32,2.71
769,Karasjok,90,NO,1514296200,92,69.47,25.52,28.4,14.99
772,Clearwater,100,US,1514295300,87,27.97,-82.8,59.0,10.29
774,Malanje,0,AO,1514297332,59,-9.54,16.35,79.24,4.5
775,Saint-Augustin,0,FR,1514296800,71,44.83,-0.61,51.8,16.11
777,Narsaq,48,GL,1514297045,75,60.91,-46.05,17.05,12.77
779,Inhambane,75,MZ,1514293200,61,-23.87,35.38,77.0,16.11
780,Faanui,64,PF,1514297037,100,-16.48,-151.75,81.09,8.63
781,Kenora,1,CA,1514295300,67,49.76,-94.48,-23.81,6.51
783,Barrow,68,AR,1514297002,45,-38.31,-60.23,83.92,9.86
785,Knysna,0,ZA,1514293200,56,-34.04,23.05,69.8,12.75
790,Mporokoso,44,ZM,1514297339,84,-9.37,30.12,72.76,1.03
793,Riyadh,0,SA,1514293200,19,24.63,46.72,68.0,14.99
794,Husavik,44,CA,1514297058,60,50.56,-96.99,-12.74,10.42
797,Saint Anthony,90,US,1514295360,92,43.97,-111.68,19.4,5.82
798,Bull Savanna,12,JM,1514297342,62,17.89,-77.59,80.59,5.61
800,Kaeo,36,NZ,1514297138,83,-35.1,173.78,58.72,10.09
804,Itarantim,36,BR,1514297345,79,-15.65,-40.06,81.54,7.18
806,Nieuwpoort,20,BE,1514296800,81,51.13,2.75,44.6,20.8
807,Kattivakkam,20,IN,1514295000,78,13.22,80.32,78.8,9.17
811,Salta,20,AR,1514293200,73,-24.79,-65.41,78.8,3.36
813,Dunedin,32,NZ,1514297156,86,-45.87,170.5,44.77,8.52
816,Bahia Blanca,0,AR,1514297306,44,-38.72,-62.27,82.71,9.08
818,Bakel,0,SN,1514297350,22,14.9,-12.46,91.57,11.99
820,Mianwali,76,PK,1514297351,69,32.57,71.58,50.98,3.71
821,Okhotsk,80,RU,1514297351,100,59.36,143.24,-7.39,10.42
823,Lakatoro,24,VU,1514297352,100,-16.11,167.42,76.14,6.51
829,Hualmay,0,PE,1514297254,69,-11.1,-77.61,72.81,4.38
833,Viedma,0,AR,1514297356,27,-40.81,-62.99,80.59,15.68
841,Saquarema,40,BR,1514296800,55,-22.93,-42.51,89.6,4.7
843,Gat,0,SN,1514297359,30,14.69,-16.54,89.5,10.31
844,Imbituba,75,BR,1514295000,83,-28.24,-48.67,71.6,3.36
846,Nikolayevsk-na-amure,80,RU,1514297361,80,53.14,140.72,25.69,18.25
850,Yerbogachen,0,RU,1514297363,85,61.28,108.01,-20.21,7.07
851,Qaqortoq,68,GL,1514297364,88,60.72,-46.03,30.46,25.08
