,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
853,Banswara,0,IN,1514297364,46,23.55,74.45,59.08,5.73
855,Traverse City,90,US,1514295300,60,44.76,-85.62,6.8,4.7
858,Zacapu,90,MX,1514292540,81,19.82,-101.79,51.8,1.81
859,Kasongo-Lunda,20,CD,1514297368,64,-6.48,16.82,85.09,2.93
862,Luneville,75,FR,1514296800,65,48.6,6.5,44.6,13.87
863,Paracatu,44,BR,1514297088,53,-17.22,-46.87,87.66,4.72
868,Ixtapa,24,MX,1514297370,75,20.71,-105.21,65.65,2.04
871,Homa Bay,24,KE,1514297371,90,-0.53,34.45,74.97,3.94
874,Yashkul,0,RU,1514297372,70,46.17,45.34,23.49,9.19
875,Beruwala,24,LK,1514297373,97,6.48,79.98,81.72,12.88
882,Chuy,0,UY,1514296745,64,-33.69,-53.46,82.12,10.98
883,Pimentel,12,BR,1514297377,78,-3.7,-45.5,83.56,2.93
884,Rome,40,IT,1514294400,62,41.89,12.48,59.0,12.75
888,Grand-Santi,92,GF,1514297379,87,4.27,-54.38,79.02,2.93
897,Gorontalo,12,ID,1514297244,94,0.54,123.06,74.83,2.26
901,Seymchan,64,RU,1514297383,0,62.93,152.39,-46.72,2.71
902,Whitecourt,20,CA,1514296800,74,54.14,-115.68,-25.61,2.59
905,Oyem,68,GA,1514297385,73,1.6,11.57,81.27,2.48
906,Medicine Hat,5,CA,1514293200,74,50.04,-110.68,-27.41,5.82
908,Ostrovnoy,8,RU,1514297189,84,68.05,39.51,2.16,12.44
909,Cabrero,75,CL,1514293200,88,-37.04,-72.4,66.2,5.82
913,Sabya,0,YE,1514297388,55,16.19,43.1,76.27,3.27
916,Zholymbet,20,KZ,1514297389,80,51.74,71.71,21.24,16.35
917,Nouadhibou,12,MR,1514293200,30,20.93,-17.03,69.8,16.11
921,San Andres,64,PH,1514297303,100,13.32,122.68,80.5,11.43
922,Ambanja,75,MG,1514293200,74,-13.68,48.45,86.0,4.7
923,Nara,20,JP,1514295000,56,34.68,135.8,44.6,27.51
924,Okha,68,RU,1514297393,87,53.59,142.95,25.74,21.05
926,Seoul,1,KR,1514296560,52,37.57,126.98,21.2,10.29
930,Tuktoyaktuk,0,CA,1514293200,100,69.44,-133.03,3.2,27.51
931,Merauke,48,ID,1514297395,96,-8.49,140.4,81.4,5.73
933,Alofi,100,NU,1514297396,97,-19.06,-169.92,79.96,16.8
934,Lorengau,32,PG,1514297024,100,-2.02,147.27,82.71,5.39
935,Touros,12,BR,1514297131,68,-5.2,-35.46,87.25,15.12
939,Kikwit,56,CD,1514297397,80,-5.04,18.82,84.87,5.06
940,Kodiak,90,US,1514295360,84,39.95,-94.76,6.8,6.93
942,Pasni,0,PK,1514297399,95,25.26,63.48,70.87,4.16
943,Poyarkovo,20,RU,1514297399,51,49.62,128.65,-9.68,12.33
944,Beloha,32,MG,1514297400,63,-25.17,45.06,78.52,13.0
945,Mahebourg,40,MU,1514293200,66,-20.41,57.7,84.2,12.75
946,Dicabisagan,92,PH,1514297401,100,17.08,122.42,72.85,11.99
951,Ballina,20,IE,1514295000,93,54.11,-9.15,35.6,5.82
952,Kapaa,75,US,1514292960,88,22.08,-159.32,69.8,6.93
953,Wolow,0,PL,1514296800,70,51.34,16.64,42.8,9.17
955,Mallaig,48,GB,1514297408,100,57.01,-5.83,41.04,16.58
957,Gweta,0,BW,1514297409,60,-20.21,25.26,83.74,18.48
958,Los Llanos de Aridane,20,ES,1514295000,49,28.66,-17.92,71.6,5.82
960,Ginda,0,IN,1514297410,97,30.69,78.49,32.94,1.7
962,Longyearbyen,75,NO,1514296200,62,78.22,15.63,24.8,12.75
963,Nikolskoye,75,RU,1514295000,86,59.7,30.79,33.8,8.95
964,Griffith,0,AU,1514297412,50,-34.29,146.06,76.59,15.23
966,Shieli,92,KZ,1514297412,99,44.18,66.74,34.56,17.69
967,Rosarito,40,CO,1514293200,82,4.91,-75.23,69.8,3.36
968,Torbay,75,CA,1514293200,100,47.66,-52.73,32.0,41.38
969,Barabai,24,ID,1514297414,83,-2.59,115.38,78.84,2.71
972,Svecha,76,RU,1514297416,78,58.28,47.52,12.37,6.4
973,Yar-Sale,68,RU,1514297256,94,66.83,70.83,0.49,8.86
974,Manzhouli,0,CN,1514297416,0,49.6,117.43,-26.47,3.94
976,Nichinan,0,JP,1514297417,100,31.65,131.31,44.82,12.44
978,Sao Jose da Coroa Grande,32,BR,1514297054,73,-8.9,-35.15,85.0,11.1
979,Kalmunai,92,LK,1514297419,100,7.42,81.82,74.16,5.17
982,Itarema,76,BR,1514297420,75,-2.92,-39.92,85.36,12.21
983,Bireun,76,ID,1514297421,100,5.2,96.7,77.89,3.6
984,Piranshahr,0,IR,1514297421,75,36.7,45.14,31.81,1.92
986,Chanute,1,US,1514295300,73,37.68,-95.46,23.0,14.99
992,Aklavik,5,CA,1514293200,63,68.22,-135.01,-9.41,13.87
997,Mazagao,40,BR,1514293200,66,-0.12,-51.29,87.8,4.7
999,Kuusamo,90,FI,1514296200,83,65.96,29.19,-9.41,3.36
1004,Craig,90,US,1514295000,68,40.52,-107.55,28.4,4.94
1008,Upata,92,VE,1514297429,79,8.02,-62.41,77.62,6.96
1011,Yatou,40,CM,1514293200,50,3.63,9.81,95.0,3.36
1013,Kalynivka,0,UA,1514295000,75,50.23,30.23,44.6,6.71
1015,Hazleton,75,US,1514296500,52,40.96,-75.99,23.0,17.22
1018,Aksu,0,KZ,1514295000,85,52.04,76.93,24.8,13.42
1021,Ukiah,90,US,1514295120,100,39.15,-123.21,33.8,2.37
1022,Hamilton,90,BM,1514293920,88,32.3,-64.78,66.2,12.75
1023,Solnechnyy,88,RU,1514297436,56,50.72,136.64,2.65,16.02
1025,Kampot,92,KH,1514297438,99,10.62,104.18,70.74,6.73
1026,Severo-Kurilsk,48,RU,1514297438,100,50.68,156.12,29.56,16.58
1028,Mar del Plata,0,AR,1514297370,54,-46.43,-67.52,58.63,3.94
1029,Visnes,92,NO,1514296200,80,59.36,5.22,39.2,31.09
1030,Honningsvag,76,NO,1514297440,100,70.98,25.97,31.9,11.99
1032,Oussouye,0,SN,1514293200,25,12.49,-16.54,86.0,9.17
1034,Yashalta,0,RU,1514297442,87,46.34,42.27,33.21,6.62
1035,Alice,90,US,1514296560,100,27.75,-98.07,57.2,4.7
1036,Vanavara,68,RU,1514297444,72,60.35,102.28,-6.8,7.63
1038,East London,0,ZA,1514293200,49,-33.02,27.91,71.6,10.29
1039,Redmond,90,US,1514297040,100,47.67,-122.12,33.8,2.93
1041,Rawson,20,AR,1514297157,35,-43.3,-65.11,71.05,15.23
1042,Verkh-Usugli,12,RU,1514297447,0,52.7,115.17,-32.14,1.92
1044,Sitka,68,US,1514297448,74,37.17,-99.65,9.22,14.34
1045,Maniitsoq,12,GL,1514297449,92,65.42,-52.9,15.21,6.62
1049,Cairns,20,AU,1514296800,78,-16.92,145.77,77.0,5.82
1050,Kaitangata,80,NZ,1514297452,75,-46.28,169.85,49.59,9.64
1051,Broken Hill,0,AU,1514297452,56,-31.97,141.45,59.67,3.27
1056,Cuauhtemoc,75,MX,1514292060,50,28.72,-111.63,51.8,3.15
1057,Ahipara,88,NZ,1514297455,92,-35.17,173.16,62.5,15.01
1059,Saldanha,92,PT,1514297456,99,41.42,-6.55,43.92,15.35
1061,Luderitz,0,NA,1514293200,41,-26.65,15.16,78.8,12.75
1065,Saint-Philippe,1,CA,1514296500,47,45.36,-73.48,12.2,11.43
1068,Kyshtovka,68,RU,1514297460,85,56.56,76.62,6.84,5.73
1070,Port Hardy,75,CA,1514296800,100,50.7,-127.42,26.6,3.36
1071,Ixtlan del Rio,40,MX,1514294160,100,21.03,-104.37,50.0,1.7
1074,Fairbanks,90,US,1514293080,84,64.84,-147.72,3.2,2.93
1075,Chapada dos Guimaraes,75,BR,1514293200,74,-15.46,-55.75,80.6,11.41
1076,Choya,92,RU,1514297465,86,52.01,86.55,28.39,4.94
1077,Kijang,0,KR,1514293200,40,35.24,129.21,35.6,11.41
1078,Caravelas,68,BR,1514297466,99,-17.73,-39.27,79.87,12.77
1079,Hithadhoo,12,MV,1514297467,100,-0.6,73.08,83.52,13.44
1080,Dikson,64,RU,1514297467,100,73.51,80.55,7.87,9.98
1083,Kayerkan,80,RU,1514297469,71,69.35,87.76,0.85,2.93
1084,Ust-Ilimsk,80,RU,1514297469,64,57.96,102.73,2.56,8.52
1088,Mokrous,88,RU,1514297471,88,51.24,47.51,21.1,9.75
1090,Tarakan,12,ID,1514297472,98,3.3,117.63,80.68,4.38
1092,Kulhudhuffushi,0,MV,1514297246,100,6.62,73.07,82.3,7.96
1093,Juba,90,EE,1514296200,100,57.82,26.93,41.0,11.41
1094,Zhigansk,64,RU,1514297474,0,66.77,123.37,-31.91,12.66
1097,Bambanglipuro,100,ID,1514297475,100,-7.95,110.28,71.14,3.38
1101,Atar,32,MR,1514297270,14,20.52,-13.05,77.53,11.54
1102,Udachnyy,48,RU,1514297478,67,66.42,112.4,-15.8,4.16
1105,Dongsheng,44,CN,1514297305,73,29.72,112.52,37.03,2.93
1106,Dudinka,88,RU,1514297479,70,69.41,86.18,1.26,3.6
1107,Turtas,64,RU,1514297480,87,58.94,69.13,2.02,2.82
1110,Mandali,0,IQ,1514297481,72,33.75,45.55,57.82,4.38
1112,Airai,76,TL,1514297482,82,-8.93,125.41,72.49,1.7
1113,Manacor,40,ES,1514295000,63,39.57,3.21,60.8,18.34
1114,Geraldton,40,CA,1514293200,73,49.72,-86.95,-34.61,5.82
1115,Kloulklubed,90,PW,1514292780,88,7.04,134.26,80.6,5.82
1116,Cherskiy,0,RU,1514297485,0,68.75,161.3,-34.7,3.49
1118,Nandigama,20,IN,1514295000,69,16.78,80.29,80.6,6.4
1119,Amethi,0,IN,1514295000,77,26.76,81.16,59.0,6.17
1121,Lima,36,PE,1514297280,72,-12.06,-77.04,66.37,2.71
1122,Tessalit,88,ML,1514297488,31,20.2,1.01,69.84,9.75
1123,Madinat Sittah Uktubar,0,EG,1514293200,43,29.82,31.05,69.8,21.92
1124,Palembang,20,ID,1514295000,88,-2.99,104.76,80.6,2.24
1126,Snasa,20,NO,1514292600,79,64.25,12.38,24.8,25.28
1128,East Lansing,75,US,1514295600,84,42.74,-84.49,8.6,4.7
1129,Guerrero Negro,0,MX,1514297492,91,27.97,-114.04,54.22,3.6
1131,Aguililla,20,MX,1514297493,58,18.74,-102.79,66.64,2.93
1132,Valkeala,90,FI,1514296200,86,60.94,26.8,28.4,4.7
1133,Kruisfontein,0,ZA,1514297426,72,-34.0,24.73,69.79,8.86
1134,Salalah,0,OM,1514292600,57,17.01,54.1,78.8,6.93
1137,Sembakung,76,ID,1514297496,95,3.82,117.25,75.37,2.71
1140,Souillac,75,FR,1514296800,76,45.6,-0.6,50.0,14.99
1143,Rivadavia,0,AR,1514297498,40,-31.53,-68.59,83.61,10.76
1144,Giyani,92,ZA,1514297499,69,-23.32,30.73,71.91,14.23
1145,Rumphi,44,MW,1514297499,80,-11.02,33.86,73.03,0.69
1149,Kavieng,0,PG,1514297502,100,-2.57,150.8,83.29,2.71
1151,Veraval,90,FR,1514296800,81,49.65,0.71,44.6,17.22
1154,Nanzhou,75,TW,1514295000,73,22.49,120.51,69.8,4.7
1156,Miandrivazo,32,MG,1514297505,81,-19.53,45.46,81.54,2.59
1157,Makakilo City,90,US,1514295000,78,21.35,-158.09,71.6,5.82
1158,Patterson,90,US,1514296020,87,29.69,-91.3,48.2,6.93
1159,Baghdad,0,IQ,1514293200,48,33.3,44.38,66.2,10.29
1160,Mayo,90,CA,1514294700,75,63.59,-135.9,-20.21,2.37
1161,Batemans Bay,48,AU,1514297508,90,-35.71,150.18,64.03,4.16
1162,Ambilobe,36,MG,1514297508,97,-13.19,49.05,74.47,2.59
1163,Clyde River,1,CA,1514293200,66,70.47,-68.59,-31.01,3.36
1164,Le Port,80,FR,1514297510,79,42.87,1.37,33.88,2.15
1166,Pisco,0,PE,1514293200,83,-13.71,-76.2,69.8,5.82
1167,Constantine,40,DZ,1514295000,54,36.36,6.61,53.6,13.87
1168,Chokurdakh,0,RU,1514297460,38,70.62,147.9,-24.71,3.27
1171,Cabedelo,75,BR,1514293200,66,-6.97,-34.84,84.2,10.29
1172,Baykit,80,RU,1514297514,66,61.68,96.39,1.3,8.08
1175,Drovyanaya,12,RU,1514295000,68,51.58,113.05,-20.21,4.47
1177,Killarney,92,AU,1514297516,99,-28.34,152.3,63.22,2.48
1179,Zharkent,88,KZ,1514297517,81,44.17,80.0,25.06,2.48
1180,Vao,92,EE,1514297518,97,59.1,26.19,33.97,3.38
1181,Constitucion,20,MX,1514292240,80,23.99,-104.67,41.0,2.93
1185,Pires do Rio,56,BR,1514297443,96,-17.3,-48.28,86.22,4.38
1186,Dingle,48,PH,1514297501,89,11.0,122.67,78.57,10.76
1187,Yakima,90,US,1514296380,79,46.6,-120.51,24.8,2.82
1188,Deputatskiy,0,RU,1514297521,60,69.3,139.9,-13.91,6.62
1190,Ushtobe,92,KZ,1514297522,87,45.25,77.98,31.41,3.15
1193,Pozo Colorado,80,PY,1514297523,100,-23.49,-58.8,77.8,7.4
1195,Kahului,90,US,1514295540,93,20.89,-156.47,62.6,6.93
1198,Bandikui,0,IN,1514297526,65,27.05,76.58,55.03,3.38
1199,Tasiilaq,12,GL,1514297527,100,65.61,-37.64,14.44,13.67
1200,Matara,75,PE,1514293200,65,-13.74,-72.9,46.4,2.26
1201,Upernavik,24,GL,1514297441,100,72.79,-56.15,11.29,12.21
1204,Bathsheba,75,BB,1514293200,74,13.22,-59.52,84.2,20.8
1206,Tortoli,20,IT,1514292900,71,39.93,9.66,57.2,20.8
1208,Ashcroft,75,AU,1514296800,88,-33.91,150.9,69.8,6.93
1209,Gorin,90,US,1514295300,60,40.36,-92.02,5.0,5.82
1212,Coquimbo,90,CL,1514293200,77,-29.95,-71.34,60.8,3.36
1213,Faruka,68,PK,1514297533,88,31.89,72.41,55.89,2.82
1214,Sao Gabriel da Cachoeira,92,BR,1514297534,99,-0.13,-67.09,71.5,4.05
1215,Haines Junction,0,CA,1514297534,34,60.75,-137.51,-24.94,2.04
1216,Nome,90,US,1514296500,65,30.04,-94.42,46.4,9.17
1217,Blue Springs,90,US,1514297700,72,39.02,-94.28,12.2,11.41
1218,Tual,24,ID,1514297536,100,-5.67,132.75,86.22,6.85
1220,Nurota,90,UZ,1514295000,87,40.56,65.69,42.8,2.24
1221,Busselton,0,AU,1514297459,100,-33.64,115.35,62.82,11.88
1223,Ribeira Grande,20,PT,1514296800,68,38.52,-28.7,64.4,16.11
1225,Bereda,40,ES,1514295000,87,43.27,-7.54,53.6,13.87
1226,Golden,90,CA,1514296800,63,51.3,-116.96,-5.81,9.17
1229,Aracaju,40,BR,1514293200,69,-10.92,-37.08,82.4,11.41
1230,Albany,20,US,1514296440,44,42.65,-73.75,17.6,14.99
1231,Nuuk,32,GL,1514297541,100,64.17,-51.74,13.77,4.72
1233,Talnakh,80,RU,1514297497,73,69.49,88.39,-0.1,3.38
1234,Phan Thiet,68,VN,1514297543,94,10.93,108.1,77.8,15.23
1235,Arlit,32,NE,1514297543,28,18.74,7.39,78.97,3.71
1236,Namibe,0,AO,1514297546,98,-15.19,12.15,71.23,10.65
1240,Carnarvon,0,ZA,1514297549,11,-30.97,22.13,84.46,4.5
1241,Jamestown,0,AU,1514297487,53,-33.21,138.6,60.57,6.85
1242,Luwuk,8,ID,1514297549,99,-0.95,122.79,78.57,3.71
1243,Yellowknife,90,CA,1514293200,75,62.45,-114.38,-18.41,8.05
1244,Muros,75,ES,1514295600,93,42.77,-9.06,50.0,16.11
1245,Bundaberg,32,AU,1514297550,99,-24.87,152.35,78.84,9.98
1246,Lompoc,1,US,1514293080,69,34.64,-120.46,51.8,3.36
1247,Abyek,0,IR,1514293200,29,36.04,50.53,51.8,23.04
1248,Tuatapere,92,NZ,1514297450,100,-46.13,167.69,50.31,5.73
1250,Ibra,0,OM,1514297552,63,22.69,58.55,63.85,2.26
1251,Boyolangu,64,ID,1514297553,96,-8.09,111.9,72.49,2.71
1253,Katsuura,48,JP,1514297554,82,33.93,134.5,41.31,19.37
1255,Hermanus,0,ZA,1514297434,29,-34.42,19.24,81.54,6.51
1257,Bontang,88,ID,1514297556,100,0.12,117.47,75.06,12.77
1259,Iqaluit,90,CA,1514293200,85,63.75,-68.52,17.6,10.29
1260,Dekar,44,BW,1514297557,34,-21.53,21.93,89.19,10.54
1261,Samarai,68,PG,1514297558,100,-10.62,150.67,82.44,8.08
1264,Cartagena,0,ES,1514293200,52,37.63,-1.0,66.2,10.29
1268,Bambous Virieux,40,MU,1514293200,66,-20.34,57.76,84.2,12.75
1269,Atuona,56,PF,1514297562,100,-9.8,-139.03,78.25,9.31
1270,Hermon,92,GB,1514292600,87,51.96,-4.61,44.6,21.92
1271,Sao Filipe,36,CV,1514297548,87,14.9,-24.5,75.73,14.67
1272,Leningradskiy,24,RU,1514297564,100,69.38,178.42,-0.55,9.08
1276,Thompson,75,CA,1514296800,73,55.74,-97.86,-31.01,4.7
1277,Burnie,0,AU,1514297567,94,-41.05,145.91,64.03,18.14
1280,Waingapu,92,ID,1514297568,99,-9.65,120.26,75.24,8.41
1281,Inongo,44,CD,1514297569,92,-1.93,18.29,77.17,2.71
1284,Nastola,90,FI,1514296200,86,60.95,25.93,28.4,4.7
1285,Tchaourou,0,BJ,1514297570,29,8.89,2.6,93.28,9.64
1288,Nanortalik,32,GL,1514297500,100,60.14,-45.24,30.01,45.21
1289,Sandy Bay,20,AU,1514296800,87,-42.9,147.33,59.0,4.7
1292,Mount Gambier,0,AU,1514297573,55,-37.83,140.78,60.66,4.38
1293,Gizo,0,IL,1514296200,37,31.8,34.94,69.8,11.41
1294,Ponta do Sol,0,BR,1514297512,75,-20.63,-46.0,84.69,6.4
1295,Goundam,0,ML,1514297575,29,16.42,-3.66,85.36,10.2
1297,Jaguaribe,8,BR,1514297576,49,-5.88,-38.62,92.34,6.73
1298,Qaanaaq,0,GL,1514297450,98,77.48,-69.36,-12.56,11.88
1299,Khatanga,44,RU,1514297476,70,71.98,102.47,-15.98,13.67
1300,Vaini,0,IN,1514296980,49,15.34,74.49,74.38,6.06
1301,Dzerzhinsk,90,RU,1514295000,92,56.24,43.46,21.2,11.18
1303,Obidos,75,PT,1514296800,82,39.36,-9.16,57.2,8.05
1305,Simpang,75,MY,1514293200,83,4.82,100.71,80.6,3.36
1306,Port Elizabeth,1,US,1514296500,36,39.31,-74.98,30.2,12.75
1307,Jurmala,90,LV,1514296200,93,56.97,23.77,41.0,10.29
1308,Pevek,0,RU,1514297576,100,69.7,170.27,-25.16,7.74
1309,Lebu,20,ET,1514297207,32,8.96,38.73,63.22,5.39
1311,Vizinga,64,RU,1514297583,73,61.08,50.08,12.1,4.27
1312,New Norfolk,20,AU,1514296800,87,-42.78,147.06,59.0,4.7
1315,Mataura,76,NZ,1514297433,75,-46.19,168.86,48.55,3.94
1316,Campos Belos,20,BR,1514297585,82,-13.04,-46.77,87.57,4.72
1318,Punta Arenas,75,CL,1514293200,66,-53.16,-70.91,48.2,24.16
1319,Castro,68,CL,1514297437,88,-42.48,-73.76,54.27,3.71
1320,Esperance,20,TT,1514293200,78,10.24,-61.45,82.4,11.41
1321,Saskylakh,44,RU,1514297586,78,71.97,114.09,-18.19,11.88
1322,Sao Miguel do Araguaia,0,BR,1514297363,99,-13.28,-50.16,85.99,4.61
1323,Georgetown,90,GY,1514293200,94,6.8,-58.16,75.2,9.17
1324,Deniliquin,8,AU,1514297589,46,-35.53,144.96,76.54,14.67
1325,Matagami,0,NG,1514297589,25,9.67,8.4,84.82,8.86
1326,Cape Town,0,ZA,1514293200,44,-33.93,18.42,77.0,14.99
1327,Pacific Grove,1,US,1514295300,70,36.62,-121.92,51.8,4.5
1330,Butaritari,80,KI,1514297519,100,3.07,172.79,81.94,15.12
1331,Ilulissat,44,GL,1514297591,100,69.22,-51.1,-1.49,3.71
1332,Avarua,40,CK,1514296800,78,-21.21,-159.78,73.4,5.82
1333,Henties Bay,0,NA,1514297592,81,-22.12,14.28,68.8,6.85
1334,Svetlogorsk,90,RU,1514295000,85,53.14,59.15,12.2,4.47
1335,Cidreira,0,BR,1514297475,84,-30.17,-50.22,78.43,10.42
1336,Rikitea,92,PF,1514297448,100,-23.12,-134.97,75.96,20.38
1337,Astoria,90,US,1514296500,100,46.19,-123.83,33.8,9.17
1338,Metro,44,ID,1514297595,100,-5.11,105.31,74.83,2.26
1339,Erzin,0,TR,1514296200,67,36.95,36.2,62.6,10.29
1340,Arraial do Cabo,40,BR,1514296800,55,-22.97,-42.02,89.6,4.7
1341,Port Alfred,0,ZA,1514297540,86,-33.59,26.89,69.79,6.62
1342,Bredasdorp,0,ZA,1514293200,44,-34.53,20.04,75.2,10.29
1344,Victoria,75,BN,1514293200,94,5.28,115.24,80.6,3.36
1345,Bluff,80,AU,1514296979,62,-23.58,149.07,77.44,11.65
1346,Acapulco,40,MX,1514292720,88,16.86,-99.88,73.4,4.61
1347,Hilo,75,US,1514292960,88,19.71,-155.08,69.8,5.82
1348,Lavrentiya,88,RU,1514297213,93,65.58,-170.99,31.99,18.92
1350,Porto Walter,88,BR,1514297600,80,-8.27,-72.74,79.96,2.93
1351,Hobart,20,AU,1514293200,87,-42.88,147.33,59.0,5.82
1352,Flinders,90,AU,1514293200,88,-34.58,150.85,64.4,4.27
1353,Ushuaia,75,AR,1514293200,75,-54.81,-68.31,42.8,13.87
1354,Coihaique,20,CL,1514293200,53,-45.58,-72.07,50.0,12.75
1355,Partizanskoye,0,UA,1514297602,92,44.83,34.08,39.87,3.94
1356,Puerto Ayora,75,EC,1514293200,88,-0.74,-90.35,71.6,11.41
